"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"e:\workspace-joao\apis\projetos\ficha-facil\PENDENCIAS.md", "Markdown", 0, 18, 0, 0, 3, 21
"e:\workspace-joao\apis\projetos\ficha-facil\PLANO-APP.md", "Markdown", 0, 54, 0, 0, 24, 78
"e:\workspace-joao\apis\projetos\ficha-facil\dados\caracteristicas.json", "JSON", 0, 0, 3131, 0, 0, 3131
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\alvos.json", "JSON", 0, 0, 15, 0, 0, 15
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\alvos_de_impedimento.json", "JSON", 0, 0, 5, 0, 0, 5
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\beneficios_do_terceiro_olho.json", "JSON", 0, 0, 28, 0, 0, 28
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\constelacoes.json", "JSON", 0, 0, 52, 0, 0, 52
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\efeitos_da_mao_espalmada.json", "JSON", 0, 0, 41, 0, 0, 41
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\efeitos_de_canalizar_divindade.json", "JSON", 0, 0, 93, 0, 0, 93
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\efeitos_de_golpe_astuto.json", "JSON", 0, 0, 215, 0, 0, 215
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\efeitos_de_golpe_brutal.json", "JSON", 0, 0, 109, 0, 0, 109
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\efeitos_dos_passos_feericos.json", "JSON", 0, 0, 64, 0, 0, 64
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_aspecto_dos_selvagens.json", "JSON", 0, 0, 54, 0, 0, 54
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_furia_dos_selvagens.json", "JSON", 0, 0, 85, 0, 0, 85
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_furia_elemental.json", "JSON", 0, 0, 50, 0, 0, 50
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_golpes_abencoados.json", "JSON", 0, 0, 31, 0, 0, 31
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\opcoes_de_poder_dos_selvagens.json", "JSON", 0, 0, 74, 0, 0, 74
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\ordens_divinas.json", "JSON", 0, 0, 62, 0, 0, 62
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\ordens_primais.json", "JSON", 0, 0, 62, 0, 0, 62
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\talentos.json", "JSON", 0, 0, 12, 0, 0, 12
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\terrenos_druidicos.json", "JSON", 0, 0, 176, 0, 0, 176
"e:\workspace-joao\apis\projetos\ficha-facil\dados\catalogos\tipos_de_efeito.json", "JSON", 0, 0, 23, 0, 0, 23
"e:\workspace-joao\apis\projetos\ficha-facil\dados\classes.json", "JSON", 0, 0, 760, 0, 0, 760
"e:\workspace-joao\apis\projetos\ficha-facil\dados\subclasses.json", "JSON", 0, 0, 222, 0, 0, 222
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_barbaro.py", "Python", 83, 0, 0, 2, 5, 90
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_barbaro_car.py", "Python", 242, 0, 0, 5, 22, 269
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_efeitos_de_opcao.py", "Python", 163, 0, 0, 15, 15, 193
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_ladino.py", "Python", 348, 0, 0, 6, 26, 380
"e:\workspace-joao\apis\projetos\ficha-facil\geradores\gerar_varredura_opcoes.py", "Python", 246, 0, 0, 28, 22, 296
"e:\workspace-joao\apis\projetos\ficha-facil\revisao-fase2-barbaro-ladino.md", "Markdown", 0, 88, 0, 0, 33, 121
"e:\workspace-joao\apis\projetos\ficha-facil\revisao-varredura-opcoes.md", "Markdown", 0, 75, 0, 0, 27, 102
"e:\workspace-joao\apis\projetos\ficha-facil\validar.py", "Python", 73, 0, 0, 21, 5, 99
"Total", "-", 1155, 235, 5364, 77, 182, 7013
